great tinamou,#6e794d,#484b2d,#a6b087,#e0e5d5,#232316,#564d38,#302a1a,#7b7260,#958b81,#afaaa2,#847a4e,#433d1f,#b4b176,#d1d592,#151408,#090c08,#68696c,#3f423e,#838598,#9ea1b5
bonaparte's tinamou,#4a3f34,#7b6f66,#acc2ab,#96867b,#bcdabe,#e2d7cb,#6e604d,#463523,#928975,#ada494,#a99c79,#807960,#524f39,#262717,#bdb395,#2d3125,#505744,#909182,#6c6f62,#a7a896
highland tinamou,#2d3125,#505744,#909182,#6c6e61,#a7a896,#7a8e6d,#57674e,#2f352d,#444d41,#181d15,#342c24,#777765,#bfcfb5,#a2af90,#9ac553,#4a4239,#797068,#b2c2ac,#90867c,#cce797
little tinamou,#362b27,#645f5d,#9b9591,#7d7773,#b3aeaa,#615d43,#342e22,#a29966,#c1bba4,#b79a23,#444840,#242923,#7a6666,#9a7975,#908c9f,#696657,#2e2b20,#9b9e95,#b6c3b9,#0e0e09
pileated tinamou,#2d3125,#505744,#909182,#6b6e61,#a6a896,#111108,#493f27,#9b8971,#635638,#bca897,#a99c79,#807960,#524f39,#262717,#bdb394,#85827b,#d1d6a2,#452a32,#79151a,#a6a399
rufescent tinamou,#fcfbfb,#8a5e45,#bf774c,#dccdc5,#e1a261,#efeedd,#a99167,#d5d0bf,#80603b,#9f783f,#fcfbfb,#866c53,#b39e85,#5b4839,#d9d0c9,#f8f6e8,#c6bb8d,#826b51,#55423c,#a68c69
thicket tinamou,#3d2e1b,#685631,#958653,#c7a875,#19140c,#70754b,#504c30,#949777,#a9ac97,#709428,#2f3026,#524d3f,#7c6f5f,#9c8d7a,#ab634e,#5a4949,#796565,#382a2a,#201210,#a39397
boucard tinamou,#a99c79,#807960,#524f39,#262717,#bdb395,#838362,#b5b19e,#4b3e2e,#6b644c,#d0cbc4,#c6b789,#99874d,#574428,#382813,#70603d,#2c251e,#4d4034,#7c7b75,#a1a0a4,#59782c
boucard's tinamou,#d7c4a0,#826f46,#b19f75,#503c23,#9a8a6c,#c6b789,#99864d,#574428,#382914,#dacfb1,#838362,#b5b19e,#4b3e2e,#6b644c,#d0cbc4,#a99c79,#807960,#524f39,#262717,#bcb395
slaty breasted tin,#919090,#c7cac4,#605c59,#abadac,#494440,#584a3b,#373027,#846f5b,#a9917c,#cab59f,#c7cacf,#797c6d,#a4a6a4,#5d5a55,#353434,#676457,#49473d,#83826e,#37342c,#989880
slaty breasted tinamou,#2c261f,#504234,#7d7c76,#a0a1a5,#5d7d2d,#838362,#b5b19e,#4b3e2e,#665d45,#cfcac3,#7e6c4d,#4e402a,#ac9976,#cab696,#2c2116,#f6f6e8,#b8b287,#755e4d,#928065,#523b34
