great tinamou,5655864,3156506,8090208,9603197,13025463,7240013,4737837,10924167,14738900,2631705,1774857,4997686,9010804,7431772,11116950,592904,6842732,4145726,8619416,10396085
bonaparte's tinamou,14866379,7233613,4666659,9669239,11445910,11115641,8419680,5393977,2500375,12432535,4931381,8089446,11322027,9864827,12376766,2961701,5265220,9474434,7040609,10922134
highland tinamou,2961701,5265220,9474434,7040609,10922134,8031853,5728078,3093805,9609867,1580309,3419172,7829349,12570549,10398604,10143059,4866617,7958632,11715244,10528661,13363096
little tinamou,3549991,6578013,10196369,8156786,11775658,6380867,3419682,10656103,12696225,11966752,4474944,2369827,7955814,10123636,9275803,6841429,2959903,10132628,11977657,921097
pileated tinamou,2961701,5265220,9474434,7040609,10922134,11115641,8419680,5393977,2500375,12432535,8749691,13751970,4532786,6644314,7935258,7044183,4408116,10857616,7644247,4754980
rufescent tinamou,15724253,11112807,14012608,12761258,8413243,16579579,8809555,11771525,5719352,14274761,16579579,9068101,14470597,14589278,12491655,16316136,13024141,8547153,5587515,10914921
thicket tinamou,4009499,6837809,9733459,13084789,1643532,7369803,9672566,5262128,4547880,6852384,3092518,5393727,8154975,10325626,11232078,5982538,8021349,3746346,2167569,10785943
boucard tinamou,2893086,5062708,8158069,10592676,6191663,11115641,8419680,5393977,2500375,12432535,8618850,11907486,4931118,7038028,13683652,13023113,10061389,5719080,3680275,7430206
boucard's tinamou,14140576,8548166,11772279,5324067,9732148,13023113,10061389,5719080,3680275,7430206,2893086,5062708,8158069,10592676,6191663,11115641,8419680,5393977,2500375,12432535
slaty breasted tin,16514043,13420480,9536366,2762533,7495756,13093583,7961709,10790564,6183766,3552565,11115641,8419680,5393977,2500375,12432535,16185064,12104327,7691853,9601125,5323315
slaty breasted tinamou,2893343,5259828,8223862,10527141,6126893,8618850,11907486,4931118,7038028,13683652,8285517,5128234,11311479,13285014,2892054,16185064,12104327,7691853,9601125,5323315
choco tinamou,13752271,9738127,5987670,11777965,3223594,3748650,328707,6970442,9004096,9012337,16579579,8408890,12283198,13878461,11242366,16513786,6240811,14405836,12428444,10647661
chocu tinamou,11115641,8419680,5393977,2500375,12432535,16447993,5916473,9403752,11971740,14210254,2961701,5265220,9474434,7040609,10922134,7044183,4408116,10857616,7644247,4754980
kerr's tinamou,16382457,12961221,8355710,11382189,4210752,3234505,13489641,16053491,8888794,6384523,16579579,12240002,14569794,14144554,5756809,16579836,11776158,9389897,6250907,13620033
eastern chachalaca,3029285,7306573,4869685,10330737,10061399,2115854,4945707,11577459,8883286,14670225,9605190,5789464,14406826,4075022,8153403,3420708,10983041,8352093,14338745,12758937
mexican guan,1512468,10389889,8064780,5323310,13936755,657679,13093583,7040372,9606557,4408652,15325630,5994076,690260,2039324,9723204,15987699,6053679,12156462,12301997,9574935
plain chachalaca,10928517,4010802,9478770,2300184,7959661,10725004,5328709,12370080,7566689,15066829,6717226,8493891,10850166,7758152,8945778,5661011,3553587,8161656,14737892,1578776
texan chachalaca,5735501,7776369,4997941,2893603,10209950,14005394,11638650,7298115,9008217,4798755,6188105,4804147,8029543,3944483,10789283,5661011,3553587,8161656,14737892,1578776
texas guan,921375,8350572,8425390,4729635,4674670,4869726,12363939,14407901,987415,8419186,10659504,3552048,8089957,15062470,11635822,7564649,4341307,13805468,10463924,15856371
grey headed chachalaca,3885610,7899495,12704183,10794650,5336384,11648666,8752490,4738093,3157790,4943398,8818267,12437379,5461811,14212521,3421724,6909523,3355937,10727309,12635826,8687733
red tailed guan,7770313,2762030,15987950,7434366,12375919,16119285,9540748,12698302,2051796,4814504,16645372,8677968,4731430,13813947,9385772,16119286,3751751,12632517,8290434,265730
rufous vented chachalaca,10593609,7700534,4474655,2368014,7624247,11649437,8488565,4473400,14379454,13951182,1719821,6117174,10984821,11182133,12433064,2505243,4808507,10920604,13027013,10848624
rufous tailed chachalaca,5265719,8953683,12110763,10141473,7181843,2505243,4808507,10920604,13027013,10848624,8753969,4676115,16119029,13487566,12169543,6781280,9808285,3556404,7248729,11976380
rufous tipped chachalaca,7497000,4865558,11704154,2760207,13874562,15396594,6444097,10260086,2300693,12762811,10199916,8027734,4209711,2300949,6447692,16579577,10256219,13805162,14734011,3027757
rufous bellied chachalaca,7633984,13555164,9409890,10857368,5330476,14015971,7826243,9931607,11251083,3484185,4734508,11903856,8367845,15061659,1511693,10593609,7700534,4474655,2368014,7624247
wagler's chachalaca,8610372,12553056,5977887,7439949,5661241,10928517,4010802,9478770,2300184,7959661,3420708,10983041,8352093,14338745,12758937,4935727,8621417,14541532,3092514,10726805
west mexican chachalaca,5000511,9605517,6842461,2828318,11645103,9221349,4671521,10655328,6191971,8149309,7961965,10397843,4472895,7836230,2959398,9341556,6644049,11908763,4143920,10067796
white bellied chachalaca,6781280,9808285,3556404,7248729,11976380,6653787,4212024,9552517,1645083,9140332,5265719,8953683,12110763,10141473,7181843,12049648,5197373,2367520,7305343,10919281
white vented chachalaca,9079371,12500084,4147486,14341555,12039455,6712412,4080180,9870215,2631968,11842735,5853001,1512722,10917780,9469047,15065312,8159855,5462846,10922662,4014635,12633286
creasted guan,16514042,5793841,1780260,10002762,14277319,7044155,2897705,13947065,9608520,16053233,5728055,15921903,1384999,10658407,13421250,11653255,5792579,3880491,7836760,9910344
crested guan,16514042,5793841,1780260,10002762,14277319,7044155,2897705,13947065,9608520,16053233,5728055,15921903,1384999,10658407,13421250,11653255,5792579,3880491,7836760,9910344
black guan,16119285,3289650,263172,8947848,12434877,15856113,394758,13158600,10395294,5921370,15658480,5657946,2631468,12105403,9802905,14341584,4210236,1579030,9670025,15821180
black sickle winged guan,8752214,12237974,4605241,14080206,2630955,8031835,4603961,13029560,10931039,9980500,5922366,2435342,9213277,7237734,10595941,7698259,4076326,11385235,13556166,9937208
black chachalaca,3420708,10983041,8352093,14338745,12758937,6717226,8493891,10850166,7758152,8945778,7497000,4865558,11704154,2760207,13874562,5661011,3553587,8161656,14737892,1578776
black penelopina,6385231,2567713,10723487,12829134,12669264,2764314,5528113,9475665,12765318,1052936,15856622,4867637,988433,10788982,13134921
highland guan,14281888,8888121,2109449,5463322,12608817,6776373,9870940,3222548,11714159,5266013,10202752,4936761,7502183,7905835,12762813,6781259,3357490,11055501,12963259,13859676
little guan,3418655,8415058,14530700,12750181,11248784,5862023,3948597,8488537,879949,13027275,13686484,6514021,16317174,9278867,12686463,12240077,11636817,1183759,6332102,6641479
derby's guan,2828589,10327708,657676,12367291,6183521,16447993,5065289,1711392,9274496,13683914,15790577,5132368,12961737,1710618,7764089,15921906,3026477,5658454,8619139,12500670
horned guan,4343613,15724783,1645849,8224115,11119004,4540482,14803165,2369316,8618872,11184533,11453859,8490098,3094829,6971720,10509892,2501413,6317656,11514023,9606026,13816798
central american curassow,11053138,8617546,4604968,11052673,3091991,9933656,4345391,8287042,2764064,5466691,8428387,6778461,5131079,9281696,9189725,8748888,3420718,10721655,5988668,12759438
globose curassow,16382456,3554103,6581612,10922669,11560016,7636569,10597754,4147771,12833945,2830894,3353897,6444876,11250604,988960,8616049,15855068,6776151,12499620,9802367,1447700
great curassow,1648403,6577222,16053743,3695171,11101516,1581585,4672816,5277238,9916239,6794820,14982665,10645010,3287323,13815216,11510399,3555622,15922418,6722890,9457230,12567740
mexican curassow,6184265,14276287,9999983,16163447,16448500,2828578,8025714,13749445,5986386,15658215,8748888,3420718,10721655,5988668,12759438,3489841,10205054,6783067,10129764,1646616
bearded partridge,16514043,5984334,3222316,9799296,12564149,1378565,5058067,11697755,7356181,14790788,9987669,14329745,4402728,16447990,7817016,4408124,9407093,13355192,7694675,8493734
bearded tree quail,16514043,5984334,3222316,9799296,12564149,4673113,5749982,15200242,11580086,394759,16185078,2829106,12303291,6184548,9342608,16382456,9602166,13092544,6379083,10641732
bearded wood partridge,10188887,12567225,5062976,9388844,9346706,16382456,9602166,13092544,6379083,10641732,5719343,12558728,8809295,15921126,11560769,11449273,6968902,12492667,9652256,3026729
long tailed wood partridge,11175261,13612928,5326631,14924348,8153422,8687212,11649181,4935742,13950427,11898977,13808017,11571310,8350545,9604688,6967358,8616555,11511453,5919558,2433054,12697529
long tailed partridge,10848612,7560518,13024170,5850420,12756086,12237500,3814964,1644310,10328985,7894386,16514043,5984334,3222316,9799296,12564149,11251549,14667437,8745289,7098936,11506031
long tailed quail,11903889,6642000,9537136,2300950,591365,11970969,9078638,6116677,13221554,5128242,9600081,11704676,5323821,7823431,3349780,12093785,9208928,5785135,6578774,12101261
long tailed tree quail,11903889,6642000,9537136,2300950,591365,7040103,4340532,8885401,1118739,12568257,3093804,6777176,11116187,12827324,9595995,12093785,9208928,5785135,6578774,12101261
long tailed treequail,3292971,6120276,12697269,8486257,593162,6974028,10263167,3223075,13618358,13025149,5139008,7906685,2372889,8616315,6529836,9674869,5527377,7435628,3027758,14539977
mexican long tailed partridge,6974028,10263423,3223331,13684150,13025149,11975360,5722952,13555167,9802128,8156270,5395014,10129293,13027794,11446187,3157287,9804711,13224654,4274999,8026753,15197409
buff fronted wood partridge,16381941,8150087,4273193,14141364,10696747,2827811,6248774,11580325,8357752,15658731,16514042,9069900,12825253,14591340,11751481,16382456,9602166,13092544,6379083,10641732
buffy crowned wood partridge,9142107,12235136,5916974,3418392,14144420,8087111,10719598,4273186,2169361,12824200,9274465,12169877,6049845,3747355,12030305,7368520,9673056,4603435,11513721,3089944
buffy crowned tree quail,9208672,12104340,5984053,3681819,12030047,7368520,9673056,4603435,11513721,3089944,7438425,10594435,4212274,12434604,2698528,9142107,12235136,5916974,3418392,14144420
buffy crowned treequail,9208672,12104340,5984053,3681819,12030047,7368520,9673056,4603435,11513721,3089944,7438425,10594435,4212274,12434604,2698528,9142107,12235136,5916974,3418392,14144420
guatemalan long tailed partridge,6710060,9674325,2959119,11386472,4478299,12303757,9672045,5462608,5275570,13618636,3160340,7173677,12237426,11583256,10064735,6714952,4280610,10066573,2568213,5931540
highland partridge,11779529,14607592,9009504,5128499,10580281,14738146,10856613,8018503,9933965,6438956,3945010,12436160,9345436,6581877,8274994,11237466,15724527,5326387,12039082,2629399
highland wood partridge,8424057,11977139,4868933,10315323,14852457,7170148,9473416,4406067,7223815,11826734,5332032,8618589,2371362,10395268,5973275,5328459,9144963,7565933,3354154,11974092
mountain partridge,15461612,9530963,10917512,6765087,13141574,15987439,10059102,12169359,14801346,11179888,13676181,10719604,7957071,7439696,4670000,16053235,9466969,11902082,13943215,5193001
mountain quail,13287606,9735297,5853256,7695714,3879725,15395564,8089967,10327959,12368316,3878701,9600081,11704676,5323821,7823431,3349780,15921906,4669238,2037263,7499880,10591376
painted quail,10918531,8221017,16250871,12959409,5192753,16053233,10384727,11968392,7293746,14535605,16447990,7692346,12165235,13746337,3878422,15392971,9210489,12234904,6782081,16711420
plumed mountain quail,8225378,6119493,11183760,10329437,12959159,13287606,9735297,5853256,7695714,3879725,9600081,11704676,5323821,7823431,3349780,15395564,8089967,10327959,12368316,3878701
plumed partridge,15922420,7958879,10130303,13223355,4931902,10848612,7560518,13024170,5850420,12756086,15856370,7432539,4735036,11578533,8866630,13881800,7958109,10590075,6180158,16185078
