Name,Hex (24 bit),Red (8 bit),Green (8 bit),Blue (8 bit)
Absolute zero,#0048BA,0,72,186
Absolute zero,#0048BA,0,72,186
Absolute zero,#004DC7,0,77,199
Absolute zero,#0043AD,0,67,173
Absolute zero,#0052D3,0,82,211
Absolute zero,#003EA0,0,62,160
Absolute zero,#0042BA,0,66,186
Absolute zero,#094EBA,9,78,186
Absolute zero,#0047C7,0,71,199
Absolute zero,#0948AD,9,72,173
Absolute zero,#004BD3,0,75,211
Absolute zero,#0843A0,8,67,160
Absolute zero,#003DBA,0,61,186
Absolute zero,#1353BA,19,83,186
Absolute zero,#0041C7,0,65,199
Absolute zero,#114EAD,17,78,173
Absolute zero,#0045D3,0,69,211
Absolute zero,#1048A0,16,72,160
Acid green,#B0BF1A,176,191,26
Acid green,#B0BF1A,176,191,26
Acid green,#BCCC1C,188,204,28
Acid green,#A4B218,164,178,24
Acid green,#C7D81D,199,216,29
Acid green,#99A617,153,166,23
Acid green,#AFBF10,175,191,16
Acid green,#B1BF24,177,191,36
Acid green,#BBCC12,187,204,18
Acid green,#A5B221,165,178,33
Acid green,#C7D813,199,216,19
Acid green,#99A61F,153,166,31
Acid green,#AEBF07,174,191,7
Acid green,#B2BF2D,178,191,45
Acid green,#BACC07,186,204,7
Acid green,#A6B22A,166,178,42
Acid green,#C6D808,198,216,8
Acid green,#9AA627,154,166,39
Aero,#7CB9E8,124,185,232
Aero,#7CB9E8,124,185,232
Aero,#83C3F5,131,195,245
Aero,#75AFDB,117,175,219
Aero,#8ACDFF,138,205,255
Aero,#6EA5CE,110,165,206
Aero,#70B4E8,112,180,232
Aero,#88BEE8,136,190,232
Aero,#77BEF5,119,190,245
Aero,#80B4DB,128,180,219
Aero,#7DC8FF,125,200,255
Aero,#79A9CE,121,169,206
Aero,#65AFE8,101,175,232
Aero,#93C3E8,147,195,232
Aero,#6AB9F5,106,185,245
Aero,#8BB8DB,139,184,219
Aero,#70C2FF,112,194,255
Aero,#83AECE,131,174,206
Aero blue,#C9FFE5,201,255,229
Aero blue,#C9FFE5,201,255,229
Aero blue,#D3FFF0,211,255,240
Aero blue,#BFF2DA,191,242,218
Aero blue,#DDFFFC,221,255,252
Aero blue,#B5E6CE,181,230,206
Aero blue,#BCFFDF,188,255,223
Aero blue,#D6FFEB,214,255,235
Aero blue,#C6FFEA,198,255,234
Aero blue,#CBF2DF,203,242,223
Aero blue,#CFFFF5,207,255,245
Aero blue,#C0E6D4,192,230,212
Aero blue,#B0FFD9,176,255,217
Aero blue,#E2FFF1,226,255,241
Aero blue,#B8FFE4,184,255,228
Aero blue,#D7F2E5,215,242,229
Aero blue,#C1FFEE,193,255,238
Aero blue,#CCE6D9,204,230,217
African violet,#B284BE,178,132,190
African violet,#B284BE,178,132,190
